dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.420002,4.299085,0.000050,0.004997,0.249855,12.492755,6.283178
0.020000,0.420159,4.299085,0.000207,0.007832,0.141744,-5.405541,0.000083
0.020000,0.420548,4.299085,0.000596,0.019449,0.580847,21.955125,0.000286
0.020000,0.421239,4.299085,0.001287,0.034573,0.756187,8.767012,0.000647
0.020000,0.422276,4.299086,0.002324,0.051851,0.863933,5.387297,0.001190
0.020000,0.423659,4.299088,0.003706,0.069121,0.863472,-0.023052,0.001914
0.020000,0.425386,4.299093,0.005434,0.086378,0.862857,-0.030752,0.002821
0.020000,0.427459,4.299100,0.007506,0.103620,0.862085,-0.038597,0.003912
0.020000,0.429875,4.299111,0.009923,0.120843,0.861156,-0.046437,0.005188
0.020000,0.432636,4.299127,0.012684,0.138044,0.860071,-0.054246,0.006650
0.020000,0.435741,4.299150,0.015789,0.155221,0.858824,-0.062382,0.008300
0.020000,0.439188,4.299182,0.019236,0.172369,0.857416,-0.070360,0.010140
0.020000,0.442977,4.299224,0.023026,0.189486,0.855845,-0.078551,0.012172
0.020000,0.447108,4.299279,0.027157,0.206568,0.854108,-0.086860,0.014398
0.020000,0.451580,4.299349,0.031629,0.223612,0.852203,-0.095272,0.016821
0.020000,0.456392,4.299436,0.036442,0.240615,0.850128,-0.103744,0.019444
0.020000,0.461542,4.299544,0.041593,0.257572,0.847880,-0.112403,0.022270
0.020000,0.467030,4.299674,0.047083,0.274481,0.845455,-0.121258,0.025301
0.020000,0.472855,4.299831,0.052909,0.291338,0.842854,-0.130049,0.028542
0.020000,0.479015,4.300017,0.059072,0.308140,0.840070,-0.139203,0.031996
0.020000,0.485508,4.300237,0.065570,0.324882,0.837103,-0.148355,0.035667
0.020000,0.492335,4.300494,0.072401,0.341561,0.833950,-0.157620,0.039559
0.020000,0.499492,4.300792,0.079565,0.358173,0.830608,-0.167113,0.043677
0.020000,0.506979,4.301136,0.087059,0.374715,0.827075,-0.176646,0.048026
0.020000,0.514792,4.301529,0.094882,0.391182,0.823350,-0.186261,0.052610
0.020000,0.522931,4.301977,0.103034,0.407570,0.819430,-0.195975,0.057435
