dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.419998,3.700915,0.000050,0.004997,0.249855,12.492755,6.283178
0.020000,0.420208,3.700915,0.000261,0.010532,0.276727,1.343588,0.000083
0.020000,0.420719,3.700915,0.000771,0.025525,0.749668,23.647063,0.000286
0.020000,0.421627,3.700916,0.001679,0.045381,0.992798,12.156509,0.000647
0.020000,0.422988,3.700917,0.003040,0.068079,1.134908,7.105468,0.001190
0.020000,0.424804,3.700920,0.004856,0.090786,1.135368,0.023039,0.001914
0.020000,0.427074,3.700925,0.007126,0.113506,1.135985,0.030824,0.002821
0.020000,0.429799,3.700934,0.009851,0.136241,1.136755,0.038527,0.003912
0.020000,0.432979,3.700949,0.013031,0.158995,1.137683,0.046369,0.005188
0.020000,0.436614,3.700970,0.016666,0.181770,1.138771,0.054412,0.006650
0.020000,0.440705,3.701001,0.020758,0.204571,1.140015,0.062207,0.008300
0.020000,0.445253,3.701043,0.025306,0.227399,1.141424,0.070416,0.010140
0.020000,0.450258,3.701098,0.030311,0.250259,1.142995,0.078574,0.012172
0.020000,0.455721,3.701171,0.035774,0.273154,1.144732,0.086825,0.014398
0.020000,0.461642,3.701263,0.041696,0.296086,1.146636,0.095207,0.016821
0.020000,0.468022,3.701379,0.048077,0.319061,1.148712,0.103793,0.019444
0.020000,0.474862,3.701522,0.054918,0.342080,1.150960,0.112427,0.022270
0.020000,0.482163,3.701696,0.062221,0.365147,1.153382,0.121107,0.025301
0.020000,0.489925,3.701905,0.069987,0.388267,1.155986,0.130185,0.028542
0.020000,0.498150,3.702154,0.078216,0.411443,1.158768,0.139094,0.031996
0.020000,0.506839,3.702448,0.086909,0.434677,1.161734,0.148316,0.035667
0.020000,0.515992,3.702792,0.096069,0.457975,1.164888,0.157687,0.039559
0.020000,0.525610,3.703193,0.105695,0.481340,1.168229,0.167035,0.043677
0.020000,0.535695,3.703655,0.115791,0.504775,1.171760,0.176588,0.048026
0.020000,0.546248,3.704187,0.126357,0.528284,1.175485,0.186251,0.052610
0.020000,0.557268,3.704794,0.137394,0.551873,1.179404,0.195957,0.057435
0.020000,0.568758,3.705483,0.148905,0.575543,1.183519,0.205702,0.062506
0.020000,0.580719,3.706264,0.160891,0.599299,1.187828,0.215476,0.067829
0.020000,0.593151,3.707143,0.173354,0.623146,1.192333,0.225234,0.073410
0.020000,0.606055,3.708130,0.186296,0.647087,1.197032,0.234963,0.079255
0.020000,0.619432,3.709234,0.199718,0.671125,1.201920,0.244419,0.085371
0.020000,0.633283,3.710464,0.213623,0.695265,1.206998,0.253907,0.091765
0.020000,0.647608,3.711830,0.228014,0.719510,1.212257,0.262921,0.098444
0.020000,0.662408,3.713344,0.242891,0.743864,1.217692,0.271776,0.105414
0.020000,0.677683,3.715016,0.258257,0.768330,1.223291,0.279942,0.112684
0.020000,0.693434,3.716859,0.274116,0.792911,1.229045,0.287712,0.120261
0.020000,0.709660,3.718885,0.290468,0.817610,1.234939,0.294679,0.128153
0.020000,0.726362,3.721106,0.307316,0.842429,1.240955,0.300815,0.136368
0.020000,0.743538,3.723538,0.324664,0.867370,1.247072,0.305810,0.144914
0.020000,0.761188,3.726194,0.342513,0.892435,1.253265,0.309651,0.153799
0.020000,0.779311,3.729089,0.360865,0.917626,1.259503,0.311905,0.163033
0.020000,0.797905,3.732239,0.379724,0.942941,1.265755,0.312603,0.172623
0.020000,0.816968,3.735660,0.399092,0.968380,1.271976,0.311085,0.182577
0.020000,0.836497,3.739370,0.418970,0.993943,1.278126,0.307457,0.192904
0.020000,0.856490,3.743387,0.439363,1.019626,1.284148,0.301143,0.203612
0.020000,0.876943,3.747728,0.460271,1.045425,1.289984,0.291795,0.214709
0.020000,0.897851,3.752413,0.481698,1.071337,1.295569,0.279235,0.226201
0.020000,0.919210,3.757462,0.503645,1.097353,1.300827,0.262889,0.238097
0.020000,0.941012,3.762896,0.526115,1.123467,1.305674,0.242366,0.250403
0.020000,0.963252,3.768735,0.549108,1.149667,1.310022,0.217382,0.263124
0.020000,0.985921,3.775001,0.572627,1.175943,1.313771,0.187441,0.276265
0.020000,1.009009,3.781716,0.596672,1.202279,1.316812,0.152085,0.289831
0.020000,1.032508,3.788903,0.621245,1.228660,1.319035,0.111121,0.303824
0.020000,1.056405,3.796585,0.646347,1.255066,1.320315,0.064005,0.318247
0.020000,1.080688,3.804785,0.671976,1.281476,1.320529,0.010696,0.333099
0.020000,1.105341,3.813526,0.698134,1.307867,1.319543,-0.049281,0.348379
0.020000,1.130350,3.822832,0.724818,1.334212,1.317229,-0.115708,0.364085
0.020000,1.155697,3.832725,0.752028,1.360481,1.313453,-0.188777,0.380210
0.020000,1.181364,3.843230,0.779760,1.386643,1.308088,-0.268254,0.396749
0.020000,1.207329,3.854368,0.808014,1.412663,1.301015,-0.353670,0.413690
0.020000,1.233571,3.866161,0.836784,1.438505,1.292121,-0.444675,0.431024
0.020000,1.260066,3.878630,0.866066,1.464132,1.281313,-0.540399,0.448734
0.020000,1.286789,3.891796,0.895856,1.489502,1.268516,-0.639858,0.466805
0.020000,1.313713,3.905676,0.926148,1.514576,1.253678,-0.741936,0.485215
0.020000,1.340810,3.920289,0.956934,1.539311,1.236773,-0.845235,0.503943
0.020000,1.368051,3.935650,0.988208,1.563667,1.217811,-0.948111,0.522963
0.020000,1.395405,3.951773,1.019960,1.587604,1.196833,-1.048881,0.542248
0.020000,1.422841,3.968670,1.052181,1.611082,1.173920,-1.145641,0.561765
0.020000,1.450326,3.986351,1.084863,1.634066,1.149190,-1.236513,0.581483
0.020000,1.477829,4.004823,1.117993,1.656522,1.122799,-1.319531,0.601367
0.020000,1.505317,4.024092,1.151561,1.678421,1.094942,-1.392889,0.621377
0.020000,1.532757,4.044159,1.185556,1.699738,1.065844,-1.454871,0.641477
0.020000,1.560116,4.065026,1.219965,1.720453,1.035763,-1.504041,0.661626
0.020000,1.587365,4.086690,1.254776,1.740553,1.004979,-1.539209,0.681782
0.020000,1.614471,4.109147,1.289977,1.760028,0.973789,-1.559522,0.701903
0.020000,1.641407,4.132390,1.325554,1.778878,0.942497,-1.564595,0.721949
0.020000,1.668143,4.156411,1.361497,1.797107,0.911410,-1.554346,0.741877
0.020000,1.694655,4.181198,1.397791,1.814723,0.880826,-1.529191,0.761646
0.020000,1.720918,4.206740,1.434426,1.831744,0.851028,-1.489890,0.781217
0.020000,1.746911,4.233021,1.471390,1.848189,0.822277,-1.437581,0.800550
0.020000,1.772613,4.260027,1.508671,1.864085,0.794803,-1.373704,0.819610
0.020000,1.798008,4.287740,1.546261,1.879461,0.768804,-1.299925,0.838362
0.020000,1.823081,4.316144,1.584148,1.894350,0.744442,-1.218109,0.856773
0.020000,1.847819,4.345220,1.622323,1.908787,0.721839,-1.130156,0.874812
0.020000,1.872212,4.374950,1.660779,1.922808,0.701077,-1.038064,0.892452
0.020000,1.896253,4.405314,1.699509,1.936453,0.682203,-0.943701,0.909668
0.020000,1.919936,4.436293,1.738504,1.949757,0.665225,-0.848915,0.926437
0.020000,1.943258,4.467870,1.777759,1.962759,0.650119,-0.755307,0.942738
0.020000,1.966218,4.500024,1.817269,1.975496,0.636831,-0.664414,0.958555
0.020000,1.988817,4.532737,1.857029,1.988002,0.625281,-0.577464,0.973871
0.020000,2.011057,4.565991,1.897035,2.000309,0.615371,-0.495514,0.988673
0.020000,2.032944,4.599769,1.937284,2.012449,0.606983,-0.419427,1.002951
0.020000,2.054482,4.634054,1.977773,2.024448,0.599986,-0.349848,1.016694
0.020000,2.075681,4.668829,2.018500,2.036333,0.594242,-0.287191,1.029895
0.020000,2.096549,4.704077,2.059462,2.048125,0.589606,-0.231767,1.042548
