dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466351,4.288917,0.000050,0.004960,0.247979,12.398939,0.000005
0.020000,0.466511,4.288917,0.000210,0.008025,0.153266,-4.735642,0.000132
0.020000,0.466872,4.288917,0.000571,0.018055,0.501511,17.412230,0.000417
0.020000,0.467514,4.288918,0.001213,0.032095,0.701987,10.023804,0.000924
0.020000,0.468477,4.288919,0.002176,0.048135,0.801997,5.000516,0.001685
0.020000,0.469760,4.288922,0.003459,0.064166,0.801549,-0.022416,0.002701
0.020000,0.471364,4.288927,0.005063,0.080185,0.800954,-0.029749,0.003972
0.020000,0.473288,4.288936,0.006987,0.096189,0.800213,-0.037055,0.005499
0.020000,0.475531,4.288950,0.009230,0.112176,0.799327,-0.044260,0.007284
0.020000,0.478094,4.288972,0.011793,0.128142,0.798302,-0.051275,0.009328
0.020000,0.480975,4.289002,0.014675,0.144084,0.797138,-0.058188,0.011632
0.020000,0.484175,4.289043,0.017875,0.160001,0.795840,-0.064906,0.014199
0.020000,0.487692,4.289098,0.021392,0.175889,0.794413,-0.071356,0.017029
0.020000,0.491527,4.289169,0.025227,0.191747,0.792860,-0.077620,0.020126
0.020000,0.495677,4.289260,0.029379,0.207570,0.791190,-0.083528,0.023492
0.020000,0.500143,4.289373,0.033846,0.223359,0.789408,-0.089117,0.027128
0.020000,0.504923,4.289512,0.038628,0.239109,0.787521,-0.094312,0.031038
0.020000,0.510017,4.289681,0.043725,0.254820,0.785540,-0.099061,0.035223
0.020000,0.515423,4.289883,0.049134,0.270489,0.783474,-0.103293,0.039688
0.020000,0.521140,4.290124,0.054857,0.286116,0.781335,-0.106975,0.044434
0.020000,0.527167,4.290407,0.060891,0.301699,0.779135,-0.109993,0.049464
0.020000,0.533503,4.290738,0.067235,0.317237,0.776889,-0.112303,0.054783
0.020000,0.540147,4.291121,0.073890,0.332729,0.774613,-0.113783,0.060391
0.020000,0.547096,4.291561,0.080853,0.348175,0.772325,-0.114399,0.066294
0.020000,0.554350,4.292066,0.088125,0.363576,0.770046,-0.113978,0.072493
0.020000,0.561907,4.292639,0.095704,0.378932,0.767796,-0.112483,0.078992
0.020000,0.569765,4.293288,0.103588,0.394244,0.765601,-0.109739,0.085793
0.020000,0.577923,4.294019,0.111779,0.409514,0.763487,-0.105697,0.092901
0.020000,0.586378,4.294838,0.120274,0.424744,0.761484,-0.100152,0.100316
0.020000,0.595129,4.295753,0.129072,0.439936,0.759624,-0.093034,0.108042
0.020000,0.604174,4.296771,0.138174,0.455095,0.757939,-0.084212,0.116081
0.020000,0.613511,4.297899,0.147579,0.470224,0.756470,-0.073471,0.124434
0.020000,0.623137,4.299145,0.157285,0.485329,0.755254,-0.060802,0.133104
0.020000,0.633051,4.300518,0.167294,0.500416,0.754335,-0.045945,0.142092
0.020000,0.643250,4.302026,0.177603,0.515491,0.753757,-0.028876,0.151399
0.020000,0.653732,4.303677,0.188215,0.530563,0.753570,-0.009382,0.161024
0.020000,0.664495,4.305480,0.199127,0.545639,0.753821,0.012568,0.170968
0.020000,0.675536,4.307444,0.210342,0.560730,0.754563,0.037103,0.181229
0.020000,0.686853,4.309580,0.221859,0.575847,0.755849,0.064313,0.191805
0.020000,0.698444,4.311896,0.233679,0.591002,0.757734,0.094208,0.202695
0.020000,0.710306,4.314403,0.245803,0.606207,0.760270,0.126823,0.213895
0.020000,0.722437,4.317112,0.258233,0.621478,0.763513,0.162154,0.225400
0.020000,0.734834,4.320031,0.270969,0.636828,0.767515,0.200097,0.237206
0.020000,0.747496,4.323174,0.284015,0.652274,0.772327,0.240601,0.249304
0.020000,0.760419,4.326549,0.297371,0.667834,0.777996,0.283464,0.261689
0.020000,0.773601,4.330170,0.311042,0.683526,0.784566,0.328502,0.274352
0.020000,0.787041,4.334046,0.325029,0.699367,0.792075,0.375427,0.287281
0.020000,0.800735,4.338190,0.339337,0.715378,0.800553,0.423912,0.300467
0.020000,0.814681,4.342615,0.353968,0.731579,0.810025,0.473584,0.313895
0.020000,0.828878,4.347331,0.368928,0.747989,0.820504,0.523978,0.327553
0.020000,0.843323,4.352351,0.384221,0.764629,0.831996,0.574600,0.341425
0.020000,0.858014,4.357689,0.399851,0.781519,0.844495,0.624904,0.355494
0.020000,0.872949,4.363355,0.415825,0.798678,0.857981,0.674303,0.369742
0.020000,0.888125,4.369363,0.432147,0.816127,0.872424,0.722191,0.384150
0.020000,0.903542,4.375726,0.448825,0.833882,0.887783,0.767922,0.398697
0.020000,0.919195,4.382456,0.465864,0.851962,0.904001,0.810895,0.413361
0.020000,0.935085,4.389566,0.483272,0.870383,0.921010,0.850472,0.428121
0.020000,0.951208,4.397069,0.501055,0.889157,0.938732,0.886108,0.442951
0.020000,0.967562,4.404978,0.519221,0.908299,0.957077,0.917245,0.457829
0.020000,0.984145,4.413304,0.537777,0.927818,0.975946,0.943452,0.472727
0.020000,1.000956,4.422060,0.556732,0.947722,0.995233,0.964342,0.487621
0.020000,1.017992,4.431258,0.576092,0.968019,1.014826,0.979635,0.502484
0.020000,1.035250,4.440910,0.595866,0.988711,1.034609,0.989164,0.517291
0.020000,1.052730,4.451027,0.616062,1.009800,1.054466,0.992862,0.532013
0.020000,1.070427,4.461620,0.636688,1.031286,1.074282,0.990785,0.546626
0.020000,1.088341,4.472700,0.657751,1.053165,1.093944,0.983101,0.561102
0.020000,1.106469,4.484276,0.679260,1.075432,1.113346,0.970087,0.575415
0.020000,1.124809,4.496357,0.701222,1.098080,1.132388,0.952123,0.589541
0.020000,1.143358,4.508954,0.723644,1.121099,1.150982,0.929676,0.603454
0.020000,1.162115,4.522073,0.746533,1.144480,1.169048,0.903291,0.617130
0.020000,1.181078,4.535722,0.769897,1.168211,1.186519,0.873578,0.630546
0.020000,1.200245,4.549908,0.793743,1.192277,1.203343,0.841180,0.643679
0.020000,1.219614,4.564637,0.818076,1.216667,1.219478,0.806781,0.656507
0.020000,1.239185,4.579914,0.842904,1.241365,1.234900,0.771063,0.669011
0.020000,1.258955,4.595743,0.868231,1.266357,1.249594,0.734712,0.681170
0.020000,1.278926,4.612129,0.894063,1.291628,1.263562,0.698403,0.692966
0.020000,1.299096,4.629074,0.920407,1.317164,1.276817,0.662757,0.704381
0.020000,1.319466,4.646581,0.947266,1.342952,1.289385,0.628385,0.715398
0.020000,1.340037,4.664650,0.974645,1.368978,1.301302,0.595841,0.726002
0.020000,1.360809,4.683282,1.002550,1.395230,1.312614,0.565619,0.736176
0.020000,1.381786,4.702478,1.030984,1.421698,1.323378,0.538190,0.745907
0.020000,1.402969,4.722236,1.059951,1.448371,1.333656,0.513934,0.755181
0.020000,1.424363,4.742555,1.089456,1.475242,1.343521,0.493217,0.763985
0.020000,1.445971,4.763432,1.119502,1.502303,1.353047,0.476332,0.772306
0.020000,1.467798,4.784865,1.150093,1.529549,1.362318,0.463541,0.780132
0.020000,1.489851,4.806850,1.181233,1.556977,1.371419,0.455062,0.787450
0.020000,1.512137,4.829382,1.212924,1.584586,1.380441,0.451086,0.794248
0.020000,1.534663,4.852457,1.245172,1.612376,1.389477,0.451771,0.800515
0.020000,1.557439,4.876070,1.277979,1.640348,1.398622,0.457251,0.806238
0.020000,1.580475,4.900214,1.311349,1.668508,1.407975,0.467646,0.811405
0.020000,1.603782,4.924882,1.345286,1.696860,1.417636,0.483071,0.816002
0.020000,1.627373,4.950067,1.379794,1.725414,1.427708,0.503620,0.820016
0.020000,1.651262,4.975760,1.414878,1.754180,1.438296,0.529389,0.823434
0.020000,1.675465,5.001954,1.450541,1.783170,1.449506,0.560473,0.826239
0.020000,1.699998,5.028639,1.486789,1.812399,1.461445,0.596957,0.828416
0.020000,1.724846,5.055767,1.523578,1.839428,1.351425,-5.500976,0.829947
0.020000,1.749963,5.083255,1.560813,1.861752,1.116211,-11.760701,0.830814
0.020000,1.775287,5.110999,1.598377,1.878206,0.822687,-14.676204,0.831007
0.020000,1.800723,5.138858,1.636101,1.886183,0.398873,-21.190684,0.830521
0.020000,1.826188,5.166701,1.673833,1.886612,0.021449,-18.871232,0.829366
0.020000,1.851630,5.194438,1.711471,1.881875,-0.236839,-12.914389,0.827553
0.020000,1.877010,5.221989,1.748930,1.872988,-0.444364,-10.376246,0.825102
0.020000,1.902324,5.249315,1.786179,1.862434,-0.527694,-4.166525,0.822031
0.020000,1.927582,5.276397,1.823212,1.851648,-0.539309,-0.580733,0.818354
0.020000,1.952796,5.303219,1.860025,1.840643,-0.550240,-0.546568,0.814086
0.020000,1.977979,5.329763,1.896614,1.829431,-0.560596,-0.517774,0.809241
0.020000,2.003139,5.356013,1.932974,1.818022,-0.570481,-0.494252,0.803833
0.020000,2.028286,5.381952,1.969102,1.806422,-0.579999,-0.475912,0.797873
0.020000,2.053430,5.407566,2.004995,1.794637,-0.589252,-0.462657,0.791376
0.020000,2.078577,5.432840,2.040649,1.782670,-0.598340,-0.454379,0.784351
0.020000,2.103735,5.457760,2.076059,1.770523,-0.607359,-0.450973,0.776813
0.020000,2.128910,5.482310,2.111223,1.758195,-0.616405,-0.452302,0.768772
0.020000,2.154107,5.506478,2.146137,1.745683,-0.625570,-0.458224,0.760241
0.020000,2.179330,5.530249,2.180796,1.732984,-0.634941,-0.468577,0.751233
0.020000,2.204583,5.553612,2.215198,1.720092,-0.644604,-0.483138,0.741760
0.020000,2.229867,5.576552,2.249338,1.707000,-0.654638,-0.501700,0.731836
0.020000,2.255183,5.599058,2.283212,1.693697,-0.665117,-0.523961,0.721475
0.020000,2.280532,5.621118,2.316816,1.680175,-0.676110,-0.549611,0.710692
0.020000,2.305912,5.642719,2.350144,1.666422,-0.687675,-0.578278,0.699501
0.020000,2.331322,5.663851,2.383192,1.652424,-0.699866,-0.609536,0.687920
0.020000,2.356757,5.684503,2.415956,1.638170,-0.712724,-0.642913,0.675966
0.020000,2.382213,5.704665,2.448429,1.623644,-0.726282,-0.677879,0.663656
0.020000,2.407684,5.724326,2.480605,1.608833,-0.740559,-0.713865,0.651010
0.020000,2.433163,5.743478,2.512480,1.593722,-0.755564,-0.750248,0.638048
0.020000,2.458642,5.762112,2.544046,1.578296,-0.771292,-0.786387,0.624791
0.020000,2.484112,5.780220,2.575297,1.562541,-0.787724,-0.821597,0.611261
0.020000,2.509561,5.797796,2.606225,1.546445,-0.804828,-0.855196,0.597480
0.020000,2.534979,5.814833,2.636825,1.529994,-0.822558,-0.886498,0.583473
0.020000,2.560353,5.831327,2.667089,1.513177,-0.840854,-0.914837,0.569264
0.020000,2.585670,5.847273,2.697009,1.495984,-0.859646,-0.939578,0.554878
0.020000,2.610914,5.862669,2.726577,1.478407,-0.878849,-0.960143,0.540341
0.020000,2.636070,5.877511,2.755785,1.460439,-0.898369,-0.976015,0.525679
0.020000,2.661123,5.891800,2.784627,1.442077,-0.918104,-0.986765,0.510918
