dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466362,3.690747,0.000057,0.005669,0.283447,14.172336,0.000010
0.020000,0.466632,3.690747,0.000327,0.013503,0.391707,5.413038,0.000155
0.020000,0.467240,3.690747,0.000934,0.030383,0.844003,22.614757,0.000480
0.020000,0.468320,3.690748,0.002015,0.054019,1.181770,16.888378,0.001060
0.020000,0.470009,3.690751,0.003703,0.084414,1.519793,16.901160,0.001966
0.020000,0.472440,3.690757,0.006135,0.121579,1.858232,16.921942,0.003273
0.020000,0.475751,3.690771,0.009445,0.165525,2.197287,16.952725,0.005054
0.020000,0.480008,3.690797,0.013703,0.212889,2.368200,8.545657,0.007349
0.020000,0.485214,3.690843,0.018909,0.260306,2.370842,0.132104,0.010161
0.020000,0.491369,3.690916,0.025065,0.307786,2.374040,0.159898,0.013494
0.020000,0.498475,3.691025,0.032172,0.355342,2.377772,0.186608,0.017354
0.020000,0.506534,3.691183,0.040231,0.402982,2.382013,0.212040,0.021746
0.020000,0.515545,3.691401,0.049246,0.450717,2.386730,0.235859,0.026677
0.020000,0.525512,3.691694,0.059217,0.498554,2.391884,0.257702,0.032153
0.020000,0.536435,3.692078,0.070147,0.546503,2.397427,0.277169,0.038182
0.020000,0.548317,3.692571,0.082038,0.594569,2.403304,0.293841,0.044771
0.020000,0.561157,3.693193,0.094893,0.642758,2.409446,0.307078,0.051929
0.020000,0.574957,3.693963,0.108715,0.691073,2.415774,0.316434,0.059665
0.020000,0.589717,3.694907,0.123505,0.739517,2.422195,0.321042,0.067986
0.020000,0.605437,3.696048,0.139267,0.788089,2.428602,0.320340,0.076902
0.020000,0.622117,3.697413,0.156003,0.836787,2.434869,0.313359,0.086421
0.020000,0.639755,3.699031,0.173715,0.885604,2.440854,0.299216,0.096550
0.020000,0.658349,3.700932,0.192405,0.934532,2.446394,0.277004,0.107298
0.020000,0.677895,3.703150,0.212076,0.983558,2.451305,0.245586,0.118671
0.020000,0.698388,3.705718,0.232730,1.032666,2.455385,0.203974,0.130674
0.020000,0.719822,3.708673,0.254366,1.081834,2.458406,0.151055,0.143311
0.020000,0.742189,3.712052,0.276987,1.131036,2.460121,0.085772,0.156585
0.020000,0.765478,3.715895,0.300592,1.180241,2.460265,0.007179,0.170496
0.020000,0.789679,3.720243,0.325180,1.229412,2.458553,-0.085615,0.185042
0.020000,0.814776,3.725138,0.350750,1.278506,2.454688,-0.193215,0.200217
0.020000,0.840753,3.730624,0.377300,1.327474,2.448367,-0.316088,0.216013
0.020000,0.867589,3.736743,0.404825,1.376259,2.439284,-0.454159,0.232418
0.020000,0.895262,3.743542,0.433321,1.424802,2.427141,-0.607128,0.249415
0.020000,0.923746,3.751065,0.462782,1.473035,2.411661,-0.774016,0.266985
0.020000,0.953013,3.759355,0.493200,1.520887,2.392594,-0.953331,0.285101
0.020000,0.983029,3.768457,0.524565,1.568282,2.369735,-1.142930,0.303732
0.020000,1.013759,3.778413,0.556868,1.615141,2.342935,-1.339998,0.322844
0.020000,1.045165,3.789263,0.590096,1.661383,2.312114,-1.541067,0.342394
0.020000,1.077206,3.801045,0.624234,1.706928,2.277273,-1.742080,0.362337
0.020000,1.109838,3.813795,0.659268,1.751698,2.238503,-1.938487,0.382620
0.020000,1.143013,3.827546,0.695181,1.795618,2.195994,-2.125444,0.403186
0.020000,1.176685,3.842325,0.731953,1.838619,2.150035,-2.297927,0.423974
0.020000,1.210803,3.858158,0.769566,1.880639,2.101013,-2.451138,0.444919
0.020000,1.245318,3.875063,0.807998,1.921627,2.049401,-2.580581,0.465951
0.020000,1.280178,3.893058,0.847229,1.961542,1.995751,-2.682499,0.486999
0.020000,1.315335,3.912152,0.887236,2.000356,1.940671,-2.754004,0.507989
0.020000,1.350739,3.932351,0.927997,2.038052,1.884804,-2.793326,0.528846
0.020000,1.386344,3.953656,0.969490,2.074628,1.828806,-2.799935,0.549495
0.020000,1.422106,3.976063,1.011692,2.110094,1.773314,-2.774579,0.569862
0.020000,1.457983,3.999565,1.054581,2.144473,1.718929,-2.719258,0.589874
0.020000,1.493938,4.024149,1.098137,2.177796,1.666187,-2.637112,0.609461
0.020000,1.529937,4.049799,1.142339,2.210107,1.615542,-2.532214,0.628555
0.020000,1.565951,4.076495,1.187168,2.241454,1.567355,-2.409373,0.647092
0.020000,1.601954,4.104214,1.232606,2.271892,1.521878,-2.273834,0.665010
0.020000,1.637927,4.132931,1.278636,2.301477,1.479257,-2.131047,0.682253
0.020000,1.673853,4.162618,1.325241,2.330268,1.439529,-1.986418,0.698768
0.020000,1.709723,4.193246,1.372407,2.358320,1.402627,-1.845085,0.714504
0.020000,1.745530,4.224781,1.420121,2.385688,1.368391,-1.711795,0.729417
0.020000,1.781273,4.257190,1.468370,2.412420,1.336576,-1.590763,0.743464
0.020000,1.816954,4.290439,1.517141,2.438557,1.306863,-1.485641,0.756605
0.020000,1.852581,4.324490,1.566423,2.464134,1.278873,-1.399502,0.768802
0.020000,1.888165,4.359307,1.616207,2.489178,1.252176,-1.334856,0.780020
0.020000,1.923720,4.394850,1.666481,2.513704,1.226301,-1.293749,0.790225
0.020000,1.959225,4.431035,1.717176,2.534733,1.051474,-8.741335,0.799372
0.020000,1.994620,4.467735,1.768163,2.549383,0.732499,-15.948772,0.807413
0.020000,2.029857,4.504821,1.819319,2.557807,0.421209,-15.564489,0.814312
0.020000,2.064891,4.542162,1.870522,2.560146,0.116941,-15.213393,0.820040
0.020000,2.099683,4.579630,1.921653,2.556528,-0.180920,-14.893050,0.824578
