dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.419999,4.299085,0.000050,0.004997,0.249843,12.492161,0.000005
0.020000,0.420219,4.299085,0.000270,0.011007,0.300512,2.533428,6.283091
0.020000,0.420735,4.299085,0.000786,0.025816,0.740431,21.995985,6.282868
0.020000,0.421653,4.299084,0.001704,0.045898,1.004105,13.183683,6.282472
0.020000,0.423030,4.299083,0.003081,0.068854,1.147830,7.186235,6.281878
0.020000,0.424867,4.299080,0.004918,0.091820,1.148291,0.023057,6.281084
0.020000,0.427162,4.299074,0.007214,0.114798,1.148906,0.030775,6.280090
0.020000,0.429918,4.299064,0.009970,0.137792,1.149677,0.038502,6.278895
0.020000,0.433134,4.299048,0.013186,0.160804,1.150603,0.046300,6.277498
0.020000,0.436811,4.299024,0.016863,0.183838,1.151683,0.054029,6.275897
0.020000,0.440949,4.298990,0.021000,0.206896,1.152921,0.061880,6.274091
0.020000,0.445548,4.298944,0.025600,0.229982,1.154316,0.069743,6.272078
0.020000,0.450610,4.298882,0.030662,0.253100,1.155868,0.077627,6.269855
0.020000,0.456134,4.298801,0.036187,0.276251,1.157579,0.085551,6.267421
0.020000,0.462122,4.298699,0.042176,0.299440,1.159449,0.093512,6.264773
0.020000,0.468574,4.298571,0.048629,0.322670,1.161479,0.101504,6.261908
0.020000,0.475491,4.298413,0.055548,0.345943,1.163670,0.109516,6.258823
0.020000,0.482874,4.298221,0.062933,0.369264,1.166020,0.117531,6.255515
0.020000,0.490723,4.297990,0.070786,0.392634,1.168531,0.125546,6.251981
0.020000,0.499040,4.297715,0.079107,0.416058,1.171202,0.133522,6.248218
0.020000,0.507825,4.297390,0.087898,0.439539,1.174034,0.141597,6.244220
0.020000,0.517079,4.297009,0.097160,0.463079,1.177022,0.149404,6.239985
0.020000,0.526802,4.296567,0.106893,0.486683,1.180169,0.157361,6.235508
0.020000,0.536996,4.296057,0.117100,0.510352,1.183468,0.164965,6.230785
0.020000,0.547662,4.295471,0.127782,0.534091,1.186921,0.172645,6.225812
0.020000,0.558800,4.294802,0.138940,0.557901,1.190520,0.179946,6.220582
0.020000,0.570411,4.294042,0.150576,0.581786,1.194263,0.187148,6.215092
0.020000,0.582496,4.293183,0.162691,0.605749,1.198142,0.193947,6.209336
0.020000,0.595054,4.292216,0.175287,0.629792,1.202150,0.200393,6.203309
0.020000,0.608088,4.291131,0.188365,0.653918,1.206278,0.206388,6.197005
0.020000,0.621596,4.289919,0.201928,0.678128,1.210515,0.211866,6.190419
0.020000,0.635579,4.288570,0.215976,0.702425,1.214849,0.216698,6.183544
0.020000,0.650038,4.287072,0.230512,0.726810,1.219264,0.220764,6.176376
0.020000,0.664972,4.285415,0.245538,0.751285,1.223745,0.224018,6.168907
