dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.420001,3.700915,0.000050,0.004997,0.249843,12.492161,0.000005
0.020000,0.420162,3.700915,0.000211,0.008048,0.152560,-4.864143,6.283091
0.020000,0.420545,3.700915,0.000594,0.019156,0.555399,20.141925,6.282868
0.020000,0.421227,3.700915,0.001275,0.034052,0.744798,9.469934,6.282472
0.020000,0.422248,3.700914,0.002296,0.051070,0.850916,5.305914,6.281878
0.020000,0.423609,3.700911,0.003658,0.068079,0.850454,-0.023067,6.281084
0.020000,0.425311,3.700907,0.005360,0.085076,0.849839,-0.030776,6.280090
0.020000,0.427352,3.700899,0.007401,0.102058,0.849069,-0.038517,6.278895
0.020000,0.429733,3.700887,0.009781,0.119020,0.848144,-0.046250,6.277498
0.020000,0.432452,3.700870,0.012500,0.135962,0.847062,-0.054086,6.275897
0.020000,0.435509,3.700845,0.015558,0.152878,0.845824,-0.061888,6.274091
0.020000,0.438904,3.700810,0.018953,0.169767,0.844429,-0.069741,6.272078
0.020000,0.442637,3.700765,0.022686,0.186624,0.842876,-0.077640,6.269855
0.020000,0.446705,3.700706,0.026755,0.203448,0.841165,-0.085569,6.267421
0.020000,0.451109,3.700630,0.031159,0.220233,0.839295,-0.093527,6.264773
0.020000,0.455848,3.700536,0.035899,0.236979,0.837264,-0.101512,6.261908
0.020000,0.460920,3.700421,0.040973,0.253680,0.835074,-0.109518,6.258823
0.020000,0.466325,3.700280,0.046379,0.270335,0.832723,-0.117546,6.255515
0.020000,0.472061,3.700111,0.052118,0.286939,0.830212,-0.125575,6.251981
0.020000,0.478128,3.699910,0.058188,0.303490,0.827539,-0.133609,6.248218
0.020000,0.484523,3.699674,0.064588,0.319984,0.824709,-0.141516,6.244220
0.020000,0.491246,3.699397,0.071316,0.336418,0.821719,-0.149525,6.239985
0.020000,0.498294,3.699077,0.078372,0.352790,0.818573,-0.157285,6.235508
0.020000,0.505667,3.698708,0.085754,0.369095,0.815271,-0.165104,6.230785
0.020000,0.513362,3.698285,0.093460,0.385331,0.811819,-0.172608,6.225812
0.020000,0.521377,3.697804,0.101490,0.401496,0.808218,-0.180049,6.220582
0.020000,0.529711,3.697258,0.109842,0.417585,0.804475,-0.187135,6.215092
