dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466365,4.288917,0.000057,0.005669,0.283447,14.172336,6.283174
0.020000,0.466635,4.288917,0.000327,0.013492,0.391174,5.386346,6.283030
0.020000,0.467242,4.288917,0.000934,0.030359,0.843319,22.607289,6.282706
0.020000,0.468322,4.288916,0.002013,0.053974,1.180770,16.872506,6.282129
0.020000,0.470008,4.288913,0.003700,0.084342,1.518407,16.881859,6.281228
0.020000,0.472438,4.288907,0.006129,0.121469,1.856349,16.897090,6.279928
0.020000,0.475745,4.288893,0.009437,0.165364,2.194737,16.919400,6.278158
0.020000,0.479998,4.288867,0.013690,0.212663,2.364935,8.509936,6.275878
0.020000,0.485198,4.288822,0.018890,0.260000,2.366841,0.095284,6.273087
0.020000,0.491345,4.288750,0.025038,0.307382,2.369127,0.114283,6.269780
0.020000,0.498441,4.288641,0.032134,0.354817,2.371765,0.131937,6.265955
0.020000,0.506485,4.288485,0.040180,0.402312,2.374723,0.147880,6.261608
0.020000,0.515480,4.288269,0.049178,0.449871,2.377959,0.161802,6.256734
0.020000,0.525426,4.287979,0.059128,0.497500,2.381425,0.173321,6.251329
0.020000,0.536323,4.287599,0.070032,0.545201,2.385065,0.182005,6.245387
0.020000,0.548173,4.287113,0.081891,0.592977,2.388814,0.187431,6.238904
0.020000,0.560975,4.286500,0.094708,0.640829,2.392595,0.189032,6.231875
0.020000,0.574729,4.285742,0.108483,0.688755,2.396321,0.186320,6.224295
0.020000,0.589435,4.284815,0.123218,0.736753,2.399895,0.178700,6.216158
0.020000,0.605091,4.283695,0.138914,0.784817,2.403205,0.165482,6.207461
0.020000,0.621697,4.282358,0.155573,0.832940,2.406127,0.146089,6.198200
0.020000,0.639248,4.280776,0.173195,0.881110,2.408522,0.119757,6.188370
0.020000,0.657741,4.278920,0.191782,0.929315,2.410238,0.085835,6.177971
0.020000,0.677172,4.276761,0.211332,0.977537,2.411111,0.043606,6.167001
0.020000,0.697535,4.274265,0.231847,1.025757,2.410958,-0.007617,6.155460
0.020000,0.718822,4.271400,0.253326,1.073948,2.409591,-0.068370,6.143350
0.020000,0.741024,4.268131,0.275768,1.122084,2.406805,-0.139292,6.130675
0.020000,0.764131,4.264423,0.299171,1.170132,2.402392,-0.220651,6.117440
0.020000,0.788130,4.260238,0.323532,1.218055,2.396136,-0.312773,6.103654
0.020000,0.813007,4.255539,0.348848,1.265812,2.387824,-0.415609,6.089328
0.020000,0.838743,4.250288,0.375115,1.313356,2.377245,-0.528948,6.074476
0.020000,0.865321,4.244445,0.402328,1.360640,2.364202,-0.652189,6.059115
0.020000,0.892719,4.237972,0.430480,1.407611,2.348512,-0.784482,6.043268
0.020000,0.920913,4.230831,0.459564,1.454211,2.330022,-0.924494,6.026957
0.020000,0.949877,4.222983,0.489572,1.500383,2.308611,-1.070567,6.010213
0.020000,0.979580,4.214391,0.520493,1.546067,2.284197,-1.220662,5.993067
0.020000,1.009993,4.205020,0.552318,1.591202,2.256752,-1.372284,5.975556
0.020000,1.041083,4.194836,0.585032,1.635728,2.226298,-1.522708,5.957722
0.020000,1.072812,4.183807,0.618624,1.679587,2.192919,-1.668911,5.939608
0.020000,1.105145,4.171903,0.653078,1.722722,2.156765,-1.807743,5.921263
0.020000,1.138042,4.159098,0.688380,1.765083,2.118044,-1.936032,5.902739
0.020000,1.171464,4.145367,0.724512,1.806623,2.077030,-2.050714,5.884091
0.020000,1.205370,4.130692,0.761458,1.847304,2.034049,-2.149028,5.865376
0.020000,1.239720,4.115054,0.799200,1.887094,1.989477,-2.228593,5.846653
0.020000,1.274473,4.098442,0.837720,1.925968,1.943725,-2.287617,5.827985
0.020000,1.309589,4.080845,0.876998,1.963913,1.897226,-2.324951,5.809433
0.020000,1.345030,4.062260,0.917016,2.000921,1.850422,-2.340192,5.791060
0.020000,1.380759,4.042684,0.957756,2.036996,1.803748,-2.333712,5.772927
0.020000,1.416740,4.022119,0.999199,2.072149,1.757615,-2.306648,5.755098
0.020000,1.452941,4.000573,1.041327,2.106397,1.712398,-2.260848,5.737633
0.020000,1.489332,3.978054,1.084123,2.139765,1.668422,-2.198785,5.720589
0.020000,1.525887,3.954575,1.127568,2.172284,1.625953,-2.123439,5.704025
0.020000,1.562582,3.930152,1.171648,2.203988,1.585190,-2.038153,5.687995
0.020000,1.599398,3.904803,1.216346,2.234913,1.546260,-1.946493,5.672550
0.020000,1.636318,3.878551,1.261648,2.265097,1.509218,-1.852111,5.657740
0.020000,1.673329,3.851418,1.307540,2.294578,1.474046,-1.758599,5.643613
0.020000,1.710424,3.823432,1.354008,2.323392,1.440658,-1.669420,5.630212
0.020000,1.747597,3.794620,1.401039,2.351570,1.408902,-1.587774,5.617581
0.020000,1.784846,3.765012,1.448622,2.379141,1.378570,-1.516589,5.605760
0.020000,1.822174,3.734641,1.496744,2.406129,1.349401,-1.458468,5.594788
0.020000,1.859586,3.703541,1.545395,2.432551,1.321087,-1.415682,5.584703
0.020000,1.897093,3.671747,1.594564,2.458416,1.293283,-1.390207,5.575542
0.020000,1.934704,3.639299,1.644238,2.483729,1.265609,-1.383714,5.567342
0.020000,1.972393,3.606274,1.694349,2.505530,1.090076,-8.776649,5.560148
0.020000,2.010092,3.572794,1.744768,2.520955,0.771261,-15.940746,5.554008
0.020000,2.047739,3.538981,1.795371,2.530141,0.459296,-15.598247,5.548960
0.020000,2.085280,3.504958,1.846035,2.533216,0.153736,-15.278017,5.545033
0.020000,2.122663,3.470849,1.896641,2.530300,-0.145822,-14.977903,5.542248
0.020000,2.159841,3.436776,1.947071,2.521505,-0.439712,-14.694466,5.540621
0.020000,2.196769,3.402861,1.997210,2.506942,-0.728178,-14.423306,5.540157
0.020000,2.233436,3.369193,2.046989,2.488955,-0.899346,-8.558438,5.540857
0.020000,2.269831,3.335862,2.096341,2.467586,-1.068421,-8.453718,5.542719
0.020000,2.305909,3.302981,2.145154,2.440671,-1.345785,-13.868225,5.545735
0.020000,2.341625,3.270665,2.193321,2.408317,-1.617682,-13.594855,5.549890
0.020000,2.376932,3.239020,2.240733,2.370640,-1.883847,-13.308215,5.555160
0.020000,2.411780,3.208149,2.287289,2.327762,-2.143928,-13.004079,5.561515
0.020000,2.446118,3.178150,2.332885,2.279811,-2.397513,-12.679250,5.568914
0.020000,2.479898,3.149105,2.377434,2.227472,-2.616954,-10.972023,5.577310
0.020000,2.513109,3.121058,2.420905,2.173529,-2.697155,-4.010075,5.586660
0.020000,2.545772,3.094018,2.463308,2.120139,-2.669491,1.383205,5.596926
