dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466353,3.690747,0.000050,0.004969,0.248441,12.422072,6.283178
0.020000,0.466514,3.690747,0.000211,0.008049,0.154020,-4.721092,6.283052
0.020000,0.466876,3.690747,0.000573,0.018110,0.503043,17.451145,6.282768
0.020000,0.467520,3.690746,0.001217,0.032193,0.704166,10.056152,6.282263
0.020000,0.468485,3.690745,0.002182,0.048285,0.804559,5.019657,6.281504
0.020000,0.469773,3.690742,0.003470,0.064369,0.804230,-0.016457,6.280492
0.020000,0.471382,3.690737,0.005079,0.080445,0.803793,-0.021831,6.279226
0.020000,0.473312,3.690728,0.007009,0.096510,0.803252,-0.027057,6.277706
0.020000,0.475563,3.690714,0.009260,0.112562,0.802609,-0.032163,6.275929
0.020000,0.478135,3.690692,0.011832,0.128600,0.801867,-0.037070,6.273896
0.020000,0.481027,3.690662,0.014725,0.144620,0.801032,-0.041779,6.271605
0.020000,0.484239,3.690621,0.017937,0.160622,0.800107,-0.046226,6.269056
0.020000,0.487771,3.690566,0.021469,0.176604,0.799099,-0.050393,6.266245
0.020000,0.491622,3.690495,0.025320,0.192565,0.798015,-0.054210,6.263173
0.020000,0.495791,3.690404,0.029490,0.208502,0.796861,-0.057689,6.259838
0.020000,0.500278,3.690292,0.033979,0.224415,0.795647,-0.060698,6.256238
0.020000,0.505082,3.690153,0.038785,0.240302,0.794382,-0.063261,6.252371
0.020000,0.510202,3.689984,0.043908,0.256164,0.793076,-0.065283,6.248235
0.020000,0.515638,3.689782,0.049348,0.271999,0.791742,-0.066718,6.243830
0.020000,0.521390,3.689542,0.055104,0.287807,0.790392,-0.067498,6.239152
0.020000,0.527455,3.689260,0.061176,0.303587,0.789041,-0.067554,6.234201
0.020000,0.533833,3.688931,0.067563,0.319342,0.787704,-0.066829,6.228974
0.020000,0.540524,3.688549,0.074264,0.335070,0.786400,-0.065237,6.223470
0.020000,0.547525,3.688110,0.081280,0.350772,0.785146,-0.062683,6.217687
0.020000,0.554837,3.687608,0.088609,0.366452,0.783963,-0.059133,6.211623
0.020000,0.562458,3.687038,0.096251,0.382109,0.782874,-0.054445,6.205277
0.020000,0.570387,3.686392,0.104206,0.397747,0.781903,-0.048583,6.198648
0.020000,0.578622,3.685666,0.112473,0.413369,0.781074,-0.041415,6.191734
0.020000,0.587163,3.684852,0.121053,0.428977,0.780417,-0.032888,6.184535
0.020000,0.596008,3.683943,0.129944,0.444576,0.779959,-0.022892,6.177050
0.020000,0.605156,3.682932,0.139148,0.460171,0.779732,-0.011351,6.169279
0.020000,0.614605,3.681813,0.148663,0.475766,0.779768,0.001829,6.161222
0.020000,0.624354,3.680577,0.158490,0.491368,0.780102,0.016699,6.152879
0.020000,0.634402,3.679216,0.168630,0.506984,0.780769,0.033351,6.144251
0.020000,0.644747,3.677722,0.179082,0.522620,0.781806,0.051847,6.135339
0.020000,0.655388,3.676087,0.189848,0.538285,0.783251,0.072213,6.126146
0.020000,0.666323,3.674303,0.200928,0.553988,0.785140,0.094482,6.116674
0.020000,0.677551,3.672359,0.212323,0.569738,0.787514,0.118689,6.106926
0.020000,0.689070,3.670248,0.224033,0.585546,0.790410,0.144796,6.096907
0.020000,0.700879,3.667960,0.236062,0.601423,0.793866,0.172778,6.086620
0.020000,0.712976,3.665484,0.248410,0.617382,0.797917,0.202587,6.076071
0.020000,0.725359,3.662812,0.261078,0.633434,0.802600,0.234112,6.065266
0.020000,0.738028,3.659933,0.274070,0.649593,0.807945,0.267250,6.054213
0.020000,0.750981,3.656837,0.287388,0.665872,0.813981,0.301816,6.042919
0.020000,0.764216,3.653514,0.301033,0.682287,0.820734,0.337654,6.031394
0.020000,0.777731,3.649952,0.315010,0.698851,0.828224,0.374496,6.019648
0.020000,0.791526,3.646141,0.329322,0.715581,0.836466,0.412117,6.007691
0.020000,0.805599,3.642070,0.343972,0.732490,0.845470,0.450188,5.995536
0.020000,0.819948,3.637728,0.358964,0.749595,0.855238,0.488391,5.983196
0.020000,0.834573,3.633104,0.374302,0.766910,0.865765,0.526385,5.970684
0.020000,0.849471,3.628186,0.389991,0.784451,0.877041,0.563767,5.958016
0.020000,0.864642,3.622963,0.406036,0.802232,0.889044,0.600164,5.945209
0.020000,0.880084,3.617423,0.422441,0.820267,0.901747,0.635155,5.932278
0.020000,0.895795,3.611555,0.439212,0.838569,0.915114,0.668357,5.919242
0.020000,0.911775,3.605348,0.456355,0.857151,0.929101,0.699358,5.906120
0.020000,0.928021,3.598789,0.473876,0.876024,0.943657,0.727794,5.892931
0.020000,0.944533,3.591868,0.491780,0.895199,0.958724,0.753311,5.879695
0.020000,0.961310,3.584574,0.510073,0.914684,0.974236,0.775603,5.866432
0.020000,0.978349,3.576895,0.528763,0.934486,0.990124,0.794402,5.853165
0.020000,0.995650,3.568820,0.547855,0.954612,1.006314,0.809501,5.839915
0.020000,1.013211,3.560339,0.567357,0.975067,1.022729,0.820749,5.826703
0.020000,1.031030,3.551442,0.587274,0.995853,1.039290,0.828063,5.813552
0.020000,1.049107,3.542118,0.607613,1.016971,1.055918,0.831427,5.800485
