dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466372,7.299085,0.000050,0.004955,0.247755,12.387735,6.283156
0.020000,0.466659,7.299085,0.000336,0.014330,0.468740,11.049284,6.282861
0.020000,0.467304,7.299085,0.000981,0.032243,0.895652,21.345591,6.282196
0.020000,0.468450,7.299083,0.002127,0.057323,1.254004,17.917615,6.281013
0.020000,0.470170,7.299077,0.003847,0.085990,1.433336,8.966564,6.279239
0.020000,0.472463,7.299066,0.006141,0.114662,1.433625,0.014471,6.276873
0.020000,0.475330,7.299043,0.009007,0.143342,1.433971,0.017315,6.273915
0.020000,0.478770,7.299005,0.012448,0.172029,1.434342,0.018539,6.270364
0.020000,0.482784,7.298946,0.016462,0.200722,1.434695,0.017629,6.266219
0.020000,0.487372,7.298857,0.021051,0.229422,1.434979,0.014204,6.261481
0.020000,0.492533,7.298731,0.026213,0.258125,1.435135,0.007786,6.256148
0.020000,0.498267,7.298559,0.031950,0.286827,1.435094,-0.002036,6.250222
0.020000,0.504573,7.298330,0.038260,0.315522,1.434780,-0.015721,6.243702
0.020000,0.511451,7.298034,0.045144,0.344204,1.434106,-0.033696,6.236590
0.020000,0.518899,7.297658,0.052602,0.372864,1.432978,-0.056368,6.228886
0.020000,0.526915,7.297189,0.060631,0.401490,1.431295,-0.084151,6.220594
0.020000,0.535497,7.296613,0.069233,0.430069,1.428948,-0.117374,6.211716
0.020000,0.544642,7.295915,0.078405,0.458585,1.425820,-0.156384,6.202256
0.020000,0.554346,7.295079,0.088145,0.487021,1.421793,-0.201376,6.192221
0.020000,0.564606,7.294088,0.098452,0.515356,1.416741,-0.252571,6.181616
0.020000,0.575415,7.292925,0.109323,0.543567,1.410542,-0.309971,6.170449
0.020000,0.586767,7.291573,0.120756,0.571628,1.403070,-0.373572,6.158732
0.020000,0.598655,7.290011,0.132746,0.599512,1.394208,-0.443118,6.146475
0.020000,0.611071,7.288222,0.145290,0.627189,1.383842,-0.518304,6.133693
0.020000,0.624004,7.286186,0.158382,0.654626,1.371871,-0.598553,6.120402
0.020000,0.637444,7.283884,0.172018,0.681791,1.358207,-0.683186,6.106620
0.020000,0.651378,7.281295,0.186191,0.708646,1.342782,-0.771262,6.092367
0.020000,0.665794,7.278400,0.200894,0.735157,1.325548,-0.861691,6.077666
0.020000,0.680675,7.275180,0.216120,0.761287,1.306484,-0.953189,6.062544
0.020000,0.696006,7.271616,0.231860,0.786999,1.285598,-1.044310,6.047027
0.020000,0.711770,7.267690,0.248105,0.812257,1.262929,-1.133465,6.031147
0.020000,0.727947,7.263384,0.264846,0.837028,1.238549,-1.218989,6.014936
0.020000,0.744518,7.258681,0.282071,0.861280,1.212566,-1.299160,5.998429
0.020000,0.761463,7.253566,0.299771,0.884982,1.185120,-1.372266,5.981661
0.020000,0.778759,7.248025,0.317933,0.908110,1.156387,-1.436681,5.964673
0.020000,0.796385,7.242044,0.336546,0.930641,1.126569,-1.490904,5.947503
0.020000,0.814317,7.235613,0.355597,0.952559,1.095896,-1.533644,5.930193
0.020000,0.832534,7.228720,0.375074,0.973851,1.064619,-1.563856,5.912785
0.020000,0.851012,7.221358,0.394964,0.994512,1.033002,-1.580819,5.895320
0.020000,0.869727,7.213519,0.415255,1.014538,1.001320,-1.584129,5.877842
0.020000,0.888658,7.205199,0.435934,1.033935,0.969845,-1.573744,5.860392
0.020000,0.907782,7.196393,0.456988,1.052712,0.938845,-1.549991,5.843011
0.020000,0.927079,7.187099,0.478406,1.070883,0.908574,-1.513539,5.825741
0.020000,0.946526,7.177317,0.500175,1.088469,0.879267,-1.465357,5.808621
0.020000,0.966106,7.167047,0.522285,1.105491,0.851133,-1.406692,5.791687
0.020000,0.985800,7.156291,0.544725,1.121978,0.824353,-1.339019,5.774977
0.020000,1.005590,7.145052,0.567484,1.137960,0.799074,-1.263949,5.758523
0.020000,1.025462,7.133334,0.590553,1.153468,0.775410,-1.183184,5.742357
0.020000,1.045401,7.121143,0.613924,1.168537,0.753440,-1.098492,5.726509
0.020000,1.065394,7.108483,0.637588,1.183201,0.733210,-1.011536,5.711006
0.020000,1.085430,7.095362,0.661538,1.197496,0.714729,-0.924027,5.695873
0.020000,1.105499,7.081787,0.685767,1.211455,0.697981,-0.837400,5.681132
0.020000,1.125593,7.067765,0.710269,1.225114,0.682919,-0.753103,5.666802
0.020000,1.145704,7.053305,0.735039,1.238503,0.669473,-0.672286,5.652903
0.020000,1.165826,7.038414,0.760072,1.251654,0.657553,-0.596028,5.639450
0.020000,1.185957,7.023102,0.785364,1.264595,0.647051,-0.525112,5.626456
0.020000,1.206091,7.007378,0.810911,1.277352,0.637845,-0.460280,5.613936
0.020000,1.226227,6.991250,0.836710,1.289948,0.629805,-0.401992,5.601898
0.020000,1.246364,6.974727,0.862758,1.302404,0.622792,-0.350647,5.590353
0.020000,1.266503,6.957820,0.889053,1.314737,0.616663,-0.306462,5.579308
0.020000,1.286643,6.940537,0.915592,1.326963,0.611271,-0.269590,5.568772
0.020000,1.306787,6.922888,0.942374,1.339092,0.606469,-0.240083,5.558749
0.020000,1.326937,6.904883,0.969397,1.351134,0.602111,-0.217904,5.549247
0.020000,1.347097,6.886531,0.996659,1.363095,0.598050,-0.203045,5.540271
0.020000,1.367271,6.867843,1.024158,1.374978,0.594143,-0.195382,5.531825
0.020000,1.387463,6.848828,1.051894,1.386783,0.590245,-0.194894,5.523916
