dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466355,6.700915,0.000050,0.004955,0.247755,12.387735,6.283156
0.020000,0.466465,6.700915,0.000159,0.005490,0.026769,-11.049286,6.282861
0.020000,0.466712,6.700915,0.000406,0.012353,0.343121,15.817611,6.282196
0.020000,0.467151,6.700914,0.000846,0.021958,0.480278,6.857862,6.281013
0.020000,0.467809,6.700912,0.001504,0.032932,0.548701,3.421124,6.279239
0.020000,0.468687,6.700908,0.002382,0.043901,0.548412,-0.014469,6.276873
0.020000,0.469785,6.700899,0.003479,0.054862,0.548064,-0.017368,6.273915
0.020000,0.471101,6.700885,0.004796,0.065816,0.547693,-0.018573,6.270364
0.020000,0.472636,6.700862,0.006331,0.076763,0.547339,-0.017689,6.266219
0.020000,0.474390,6.700828,0.008085,0.087704,0.547054,-0.014260,6.261481
0.020000,0.476362,6.700780,0.010058,0.098642,0.546897,-0.007861,6.256148
0.020000,0.478553,6.700714,0.012250,0.109580,0.546936,0.001961,6.250222
0.020000,0.480962,6.700627,0.014660,0.120525,0.547248,0.015635,6.243702
0.020000,0.483589,6.700513,0.017290,0.131484,0.547920,0.033598,6.236590
0.020000,0.486434,6.700370,0.020139,0.142465,0.549046,0.056269,6.228886
0.020000,0.489499,6.700191,0.023209,0.153479,0.550726,0.084035,6.220594
0.020000,0.492782,6.699970,0.026499,0.164541,0.553072,0.117264,6.211716
0.020000,0.496285,6.699703,0.030013,0.175665,0.556197,0.156251,6.202256
0.020000,0.500009,6.699382,0.033750,0.186869,0.560222,0.201260,6.192221
0.020000,0.503954,6.699001,0.037714,0.198174,0.565271,0.252431,6.181616
0.020000,0.508122,6.698552,0.041906,0.209604,0.571468,0.309846,6.170449
0.020000,0.512515,6.698029,0.046329,0.221182,0.578936,0.373427,6.158732
0.020000,0.517134,6.697422,0.050988,0.232938,0.587796,0.442994,6.146475
0.020000,0.521982,6.696724,0.055886,0.244902,0.598159,0.518170,6.133693
0.020000,0.527061,6.695924,0.061028,0.257104,0.610128,0.598440,6.120402
0.020000,0.532375,6.695014,0.066420,0.269580,0.623790,0.683071,6.106620
0.020000,0.537928,6.693982,0.072067,0.282364,0.639213,0.771162,6.092367
0.020000,0.543722,6.692818,0.077977,0.295493,0.656445,0.861608,6.077666
0.020000,0.549762,6.691511,0.084157,0.309003,0.675507,0.953124,6.062544
0.020000,0.556053,6.690049,0.090616,0.322931,0.696393,1.044262,6.047027
0.020000,0.562599,6.688418,0.097362,0.337312,0.719062,1.133445,6.031147
0.020000,0.569406,6.686606,0.104406,0.352181,0.743441,1.218994,6.014936
0.020000,0.576478,6.684599,0.111757,0.367570,0.769425,1.299190,5.998429
0.020000,0.583821,6.682382,0.119427,0.383507,0.796872,1.372327,5.981661
0.020000,0.591440,6.679941,0.127427,0.400019,0.825607,1.436769,5.964673
0.020000,0.599340,6.677261,0.135770,0.417128,0.855428,1.491021,5.947503
0.020000,0.607526,6.674324,0.144467,0.434850,0.886103,1.533787,5.930193
0.020000,0.616003,6.671117,0.153531,0.453198,0.917384,1.564031,5.912785
0.020000,0.624776,6.667621,0.162974,0.472178,0.949004,1.581013,5.895320
0.020000,0.633848,6.663821,0.172810,0.491791,0.980691,1.584341,5.877842
0.020000,0.643223,6.659700,0.183051,0.512035,1.012171,1.573978,5.860392
0.020000,0.652904,6.655242,0.193709,0.532898,1.043175,1.550241,5.843011
0.020000,0.662893,6.650431,0.204796,0.554367,1.073451,1.513792,5.825741
0.020000,0.673192,6.645250,0.216325,0.576423,1.102764,1.465615,5.808621
0.020000,0.683802,6.639685,0.228306,0.599041,1.130903,1.406957,5.791687
0.020000,0.694722,6.633719,0.240749,0.622194,1.157688,1.339277,5.774977
0.020000,0.705955,6.627340,0.253667,0.645854,1.182972,1.264196,5.758523
0.020000,0.717497,6.620534,0.267066,0.669987,1.206641,1.183431,5.742357
0.020000,0.729348,6.613287,0.280957,0.694559,1.228615,1.098705,5.726509
0.020000,0.741506,6.605588,0.295348,0.719536,1.248850,1.011764,5.711006
0.020000,0.753969,6.597426,0.310246,0.744883,1.267334,0.924200,5.695873
0.020000,0.766734,6.588791,0.325657,0.770564,1.284086,0.837586,5.681132
0.020000,0.779798,6.579674,0.341588,0.796547,1.299151,0.753250,5.666802
0.020000,0.793158,6.570067,0.358044,0.822799,1.312600,0.672431,5.652903
0.020000,0.806812,6.559963,0.375030,0.849290,1.324522,0.596125,5.639450
0.020000,0.820756,6.549356,0.392550,0.875990,1.335026,0.525220,5.626456
0.020000,0.834988,6.538241,0.410607,0.902875,1.344233,0.460347,5.613936
0.020000,0.849503,6.526614,0.429206,0.929921,1.352274,0.402052,5.601898
0.020000,0.864302,6.514471,0.448348,0.957106,1.359288,0.350681,5.590353
0.020000,0.879380,6.501812,0.468036,0.984415,1.365418,0.306490,5.579308
0.020000,0.894737,6.488633,0.488273,1.011831,1.370810,0.269601,5.568772
0.020000,0.910372,6.474934,0.509059,1.039343,1.375611,0.240067,5.558749
0.020000,0.926284,6.460716,0.530398,1.066942,1.379969,0.217896,5.549247
0.020000,0.942473,6.445979,0.552291,1.094623,1.384029,0.203004,5.540271
0.020000,0.958940,6.430723,0.574738,1.122382,1.387936,0.195357,5.531825
0.020000,0.975688,6.414953,0.597743,1.150218,1.391833,0.194831,5.523916
0.020000,0.992718,6.398668,0.621306,1.178136,1.395861,0.201410,5.516547
0.020000,1.010034,6.381874,0.645428,1.206139,1.400161,0.215013,5.509726
0.020000,1.027641,6.364572,0.670113,1.234236,1.404875,0.235686,5.503459
