dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466341,1.493901,0.000050,0.005000,0.250000,12.500000,0.000010
0.020000,0.466544,1.493901,0.000253,0.010140,0.256992,0.349617,6.283109
0.020000,0.467052,1.493901,0.000761,0.025391,0.762551,25.277927,6.282916
0.020000,0.467954,1.493901,0.001663,0.045138,0.987354,11.240153,6.282572
0.020000,0.469309,1.493899,0.003017,0.067704,1.128284,7.046496,6.282057
0.020000,0.471114,1.493897,0.004823,0.090265,1.128086,-0.009907,6.281371
0.020000,0.473370,1.493892,0.007079,0.112822,1.127821,-0.013247,6.280513
0.020000,0.476078,1.493883,0.009787,0.135372,1.127488,-0.016619,6.279485
0.020000,0.479236,1.493869,0.012945,0.157913,1.127088,-0.020033,6.278288
0.020000,0.482845,1.493849,0.016554,0.180446,1.126618,-0.023492,6.276920
0.020000,0.486904,1.493821,0.020613,0.202967,1.126078,-0.027005,6.275385
0.020000,0.491413,1.493782,0.025123,0.225477,1.125466,-0.030582,6.273681
0.020000,0.496373,1.493730,0.030082,0.247972,1.124782,-0.034220,6.271810
0.020000,0.501781,1.493663,0.035491,0.270453,1.124023,-0.037934,6.269774
0.020000,0.507639,1.493578,0.041349,0.292916,1.123189,-0.041725,6.267573
0.020000,0.513945,1.493472,0.047657,0.315362,1.122277,-0.045591,6.265208
0.020000,0.520700,1.493342,0.054412,0.337788,1.121286,-0.049549,6.262681
0.020000,0.527902,1.493185,0.061616,0.360192,1.120214,-0.053585,6.259994
0.020000,0.535551,1.492996,0.069268,0.382573,1.119060,-0.057717,6.257147
0.020000,0.543647,1.492773,0.077366,0.404930,1.117821,-0.061928,6.254142
0.020000,0.552188,1.492512,0.085912,0.427259,1.116496,-0.066237,6.250982
0.020000,0.561174,1.492207,0.094903,0.449561,1.115084,-0.070622,6.247668
0.020000,0.570604,1.491856,0.104339,0.471833,1.113582,-0.075100,6.244202
0.020000,0.580477,1.491453,0.114221,0.494073,1.111989,-0.079657,6.240586
0.020000,0.590792,1.490994,0.124546,0.516279,1.110303,-0.084281,6.236822
0.020000,0.601549,1.490473,0.135315,0.538449,1.108524,-0.088986,6.232914
0.020000,0.612745,1.489887,0.146527,0.560582,1.106648,-0.093754,6.228863
0.020000,0.624380,1.489230,0.158181,0.582676,1.104677,-0.098567,6.224671
0.020000,0.636452,1.488497,0.170275,0.604728,1.102609,-0.103428,6.220343
0.020000,0.648961,1.487682,0.182810,0.626737,1.100442,-0.108337,6.215880
0.020000,0.661903,1.486779,0.195784,0.648700,1.098177,-0.113247,6.211286
0.020000,0.675279,1.485784,0.209196,0.670616,1.095813,-0.118190,6.206564
0.020000,0.689085,1.484691,0.223046,0.692483,1.093351,-0.123117,6.201717
0.020000,0.703321,1.483493,0.237332,0.714299,1.090790,-0.128022,6.196748
0.020000,0.717984,1.482184,0.252053,0.736062,1.088132,-0.132913,6.191662
0.020000,0.733072,1.480760,0.267208,0.757769,1.085377,-0.137730,6.186462
0.020000,0.748583,1.479213,0.282797,0.779420,1.082527,-0.142507,6.181151
0.020000,0.764516,1.477538,0.298817,0.801012,1.079584,-0.147173,6.175733
0.020000,0.780867,1.475729,0.315268,0.822543,1.076549,-0.151763,6.170214
0.020000,0.797634,1.473779,0.332148,0.844011,1.073424,-0.156208,6.164596
0.020000,0.814815,1.471682,0.349457,0.865415,1.070214,-0.160536,6.158884
0.020000,0.832407,1.469432,0.367192,0.886754,1.066920,-0.164695,6.153082
0.020000,0.850407,1.467023,0.385352,0.908025,1.063546,-0.168693,6.147196
0.020000,0.868812,1.464448,0.403937,0.929227,1.060096,-0.172476,6.141229
0.020000,0.887620,1.461702,0.422944,0.950358,1.056575,-0.176068,6.135187
0.020000,0.906827,1.458778,0.442372,0.971418,1.052986,-0.179432,6.129074
0.020000,0.926430,1.455671,0.462220,0.992405,1.049335,-0.182553,6.122894
0.020000,0.946427,1.452374,0.482487,1.013317,1.045627,-0.185405,6.116654
0.020000,0.966813,1.448881,0.503170,1.034154,1.041867,-0.188008,6.110358
0.020000,0.987585,1.445187,0.524268,1.054916,1.038061,-0.190330,6.104011
0.020000,1.008740,1.441285,0.545780,1.075600,1.034214,-0.192333,6.097618
0.020000,1.030275,1.437171,0.567704,1.096207,1.030333,-0.194063,6.091184
0.020000,1.052185,1.432838,0.590039,1.116735,1.026423,-0.195476,6.084715
0.020000,1.074468,1.428281,0.612782,1.137185,1.022492,-0.196577,6.078216
0.020000,1.097119,1.423494,0.635934,1.157556,1.018544,-0.197361,6.071693
0.020000,1.120134,1.418474,0.659491,1.177848,1.014588,-0.197827,6.065149
