dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466346,0.895731,0.000057,0.005669,0.283447,14.172336,0.000007
0.020000,0.466527,0.895731,0.000238,0.009070,0.170067,-5.669010,6.283095
0.020000,0.466972,0.895731,0.000683,0.022233,0.658120,24.402686,6.282876
0.020000,0.467763,0.895731,0.001473,0.039527,0.864692,10.328585,6.282486
0.020000,0.468998,0.895729,0.002709,0.061765,1.111909,12.360860,6.281878
0.020000,0.470777,0.895726,0.004488,0.088951,1.359308,12.369966,6.281003
0.020000,0.473199,0.895719,0.006909,0.121090,1.606980,12.383572,6.279812
0.020000,0.476313,0.895707,0.010024,0.155719,1.731432,6.222615,6.278284
0.020000,0.480120,0.895684,0.013831,0.190371,1.732619,0.059338,6.276420
0.020000,0.484621,0.895649,0.018332,0.225053,1.734081,0.073091,6.274221
0.020000,0.489817,0.895596,0.023528,0.259770,1.735824,0.087168,6.271690
0.020000,0.495707,0.895520,0.029418,0.294527,1.737856,0.101615,6.268829
0.020000,0.502292,0.895415,0.036005,0.329330,1.740186,0.116478,6.265643
0.020000,0.509575,0.895274,0.043289,0.364187,1.742822,0.131777,6.262133
0.020000,0.517555,0.895091,0.051271,0.399102,1.745773,0.147552,6.258305
0.020000,0.526233,0.894857,0.059952,0.434083,1.749049,0.163803,6.254163
0.020000,0.535611,0.894564,0.069335,0.469136,1.752660,0.180542,6.249711
0.020000,0.545690,0.894202,0.079420,0.504269,1.756615,0.197761,6.244954
0.020000,0.556471,0.893762,0.090210,0.539487,1.760924,0.215440,6.239899
0.020000,0.567955,0.893234,0.101706,0.574799,1.765595,0.233560,6.234552
0.020000,0.580143,0.892606,0.113910,0.610212,1.770636,0.252057,6.228920
0.020000,0.593036,0.891868,0.126825,0.645733,1.776054,0.270895,6.223009
0.020000,0.606637,0.891006,0.140452,0.681370,1.781854,0.290000,6.216827
0.020000,0.620944,0.890009,0.154795,0.717131,1.788040,0.309293,6.210384
0.020000,0.635961,0.888863,0.169855,0.753023,1.794613,0.328669,6.203687
0.020000,0.651688,0.887555,0.185637,0.789055,1.801574,0.348048,6.196745
0.020000,0.668126,0.886071,0.202141,0.825233,1.808920,0.367291,6.189570
0.020000,0.685276,0.884397,0.219373,0.861566,1.816646,0.386288,6.182170
0.020000,0.703138,0.882517,0.237334,0.898061,1.824744,0.404904,6.174558
0.020000,0.721715,0.880418,0.256028,0.934725,1.833204,0.423006,6.166743
0.020000,0.741005,0.878083,0.275460,0.971565,1.842013,0.440447,6.158739
0.020000,0.761010,0.875497,0.295631,1.008588,1.851154,0.457078,6.150556
0.020000,0.781731,0.872644,0.316547,1.045800,1.860610,0.472791,6.142209
0.020000,0.803167,0.869509,0.338211,1.083207,1.870358,0.487392,6.133709
0.020000,0.825319,0.866075,0.360628,1.120815,1.880374,0.500809,6.125070
0.020000,0.848186,0.862325,0.383800,1.158628,1.890632,0.512884,6.116307
0.020000,0.871768,0.858245,0.407733,1.196650,1.901102,0.523502,6.107432
0.020000,0.896066,0.853817,0.432431,1.234885,1.911754,0.532591,6.098461
0.020000,0.921078,0.849026,0.457898,1.273336,1.922555,0.540059,6.089408
0.020000,0.946804,0.843855,0.484138,1.312005,1.933471,0.545830,6.080286
0.020000,0.973242,0.838289,0.511156,1.350895,1.944469,0.549879,6.071112
0.020000,1.000392,0.832312,0.538956,1.390005,1.955512,0.552159,6.061899
0.020000,1.028252,0.825908,0.567543,1.429336,1.966567,0.552719,6.052663
0.020000,1.056821,0.819063,0.596920,1.468888,1.977597,0.551508,6.043418
0.020000,1.086098,0.811762,0.627093,1.508660,1.988569,0.548635,6.034179
0.020000,1.116080,0.803990,0.658066,1.548649,1.999452,0.544110,6.024961
0.020000,1.146765,0.795733,0.689844,1.588853,2.010213,0.538070,6.015778
0.020000,1.178153,0.786979,0.722429,1.629269,2.020824,0.530569,6.006643
0.020000,1.210240,0.777714,0.755827,1.669894,2.031259,0.521737,5.997572
0.020000,1.243024,0.767926,0.790041,1.710724,2.041494,0.511763,5.988577
0.020000,1.276504,0.757603,0.825076,1.751755,2.051508,0.500703,5.979673
0.020000,1.310677,0.746734,0.860936,1.792980,2.061284,0.488769,5.970871
0.020000,1.345540,0.735309,0.897624,1.834396,2.070807,0.476163,5.962186
0.020000,1.381093,0.723317,0.935144,1.875998,2.080066,0.462941,5.953629
0.020000,1.417331,0.710751,0.973499,1.917779,2.089054,0.449425,5.945212
0.020000,1.454254,0.697601,1.012694,1.959734,2.097768,0.435662,5.936947
0.020000,1.491860,0.683861,1.052731,2.001858,2.106206,0.421910,5.928846
0.020000,1.530146,0.669523,1.093614,2.044146,2.114372,0.408295,5.920918
0.020000,1.569111,0.654581,1.135346,2.086591,2.122272,0.395036,5.913176
0.020000,1.608754,0.639031,1.177930,2.129189,2.129917,0.382235,5.905628
0.020000,1.649074,0.622868,1.221369,2.171936,2.137319,0.370079,5.898285
0.020000,1.690069,0.606088,1.265665,2.214826,2.144494,0.358755,5.891157
0.020000,1.731740,0.588690,1.310822,2.257855,2.151460,0.348329,5.884253
0.020000,1.774037,0.570693,1.356788,2.298300,2.022255,-6.460267,5.877589
0.020000,1.816859,0.552141,1.403456,2.333408,1.755382,-13.343646,5.871187
0.020000,1.860108,0.533081,1.450719,2.363127,1.485988,-13.469730,5.865068
0.020000,1.903686,0.513565,1.498467,2.387411,1.214173,-13.590748,5.859245
0.020000,1.947494,0.493647,1.546591,2.406212,0.940047,-13.706258,5.853731
0.020000,1.991437,0.473383,1.594981,2.419486,0.663729,-13.815932,5.848537
0.020000,2.035417,0.452834,1.643525,2.427193,0.385336,-13.919661,5.843669
0.020000,2.079387,0.432036,1.692166,2.432053,0.242993,-7.117117,5.839125
0.020000,2.123352,0.411004,1.740902,2.436816,0.238152,-0.242049,5.834900
0.020000,2.167315,0.389753,1.789732,2.441489,0.233639,-0.225661,5.830988
0.020000,2.211280,0.368297,1.838654,2.446078,0.229451,-0.209389,5.827382
0.020000,2.255252,0.346649,1.887665,2.450590,0.225586,-0.193246,5.824078
0.020000,2.299234,0.324822,1.936766,2.455030,0.222041,-0.177279,5.821071
0.020000,2.343233,0.302831,1.985954,2.459407,0.218811,-0.161470,5.818356
0.020000,2.387252,0.280689,2.035229,2.463724,0.215895,-0.145830,5.815931
0.020000,2.431297,0.258407,2.084588,2.467990,0.213288,-0.130361,5.813790
0.020000,2.475372,0.235999,2.134033,2.472210,0.210987,-0.115051,5.811932
0.020000,2.519483,0.213477,2.183560,2.476390,0.208989,-0.099895,5.810353
0.020000,2.563635,0.190854,2.233171,2.480536,0.207291,-0.084867,5.809051
0.020000,2.607834,0.168143,2.282864,2.484653,0.205892,-0.069970,5.808025
0.020000,2.652086,0.145354,2.332639,2.488749,0.204789,-0.055167,5.807273
0.020000,2.696396,0.122500,2.382496,2.492829,0.203980,-0.040450,5.806793
0.020000,2.740771,0.099594,2.432434,2.496898,0.203464,-0.025795,5.806586
0.020000,2.785216,0.076648,2.482453,2.500963,0.203240,-0.011179,5.806650
0.020000,2.829738,0.053673,2.532554,2.505029,0.203308,0.003420,5.806986
0.020000,2.874344,0.030682,2.582736,2.509102,0.203669,0.018022,5.807595
0.020000,2.919039,0.007687,2.632999,2.513189,0.204322,0.032654,5.808477
0.020000,2.963831,-0.015300,2.683345,2.517294,0.205269,0.047336,5.809634
0.020000,3.008726,-0.038267,2.733774,2.521424,0.206510,0.062085,5.811066
0.020000,3.053731,-0.061201,2.784285,2.525585,0.208049,0.076931,5.812777
0.020000,3.098853,-0.084090,2.834881,2.529783,0.209887,0.091888,5.814769
0.020000,3.144100,-0.106920,2.885562,2.534024,0.212026,0.106963,5.817044
0.020000,3.189479,-0.129680,2.936328,2.538313,0.214470,0.122197,5.819606
0.020000,3.234997,-0.152355,2.987181,2.542657,0.217221,0.137574,5.822459
0.020000,3.280661,-0.174933,3.038122,2.547063,0.220284,0.153118,5.825606
0.020000,3.326480,-0.197399,3.089153,2.551536,0.223660,0.168829,5.829052
0.020000,3.372462,-0.219740,3.140275,2.556083,0.227355,0.184712,5.832803
0.020000,3.418614,-0.241942,3.191489,2.560711,0.231370,0.200756,5.836863
0.020000,3.464944,-0.263989,3.242797,2.565425,0.235709,0.216961,5.841238
0.020000,3.511460,-0.285867,3.294202,2.570233,0.240374,0.233270,5.845934
0.020000,3.558172,-0.307560,3.345705,2.575140,0.245369,0.249715,5.850959
0.020000,3.605086,-0.329052,3.397308,2.580154,0.250693,0.266192,5.856319
0.020000,3.652213,-0.350326,3.449013,2.585281,0.256347,0.282701,5.862022
0.020000,3.699559,-0.371365,3.500824,2.590527,0.262329,0.299135,5.868076
0.020000,3.747134,-0.392152,3.552742,2.595900,0.268638,0.315442,5.874489
0.020000,3.794946,-0.412668,3.604770,2.601405,0.275268,0.331493,5.881271
0.020000,3.843004,-0.432895,3.656911,2.607050,0.282212,0.347195,5.888430
0.020000,3.891317,-0.452811,3.709168,2.612839,0.289459,0.362376,5.895976
0.020000,3.939893,-0.472397,3.761543,2.618779,0.296996,0.376856,5.903919
0.020000,3.988740,-0.491631,3.814041,2.624875,0.304806,0.390489,5.912270
0.020000,4.037866,-0.510492,3.866664,2.631132,0.312865,0.402923,5.921039
0.020000,4.087281,-0.528955,3.919415,2.637555,0.321145,0.414003,5.930238
0.020000,4.136991,-0.546997,3.972298,2.644147,0.329612,0.423342,5.939878
0.020000,4.187004,-0.564593,4.025316,2.650912,0.338223,0.430577,5.949971
0.020000,4.237327,-0.581716,4.078473,2.657850,0.346930,0.435350,5.960527
0.020000,4.287968,-0.598340,4.131772,2.664964,0.355673,0.437121,5.971559
0.020000,4.338932,-0.614435,4.185217,2.672251,0.364382,0.435465,5.983079
0.020000,4.390224,-0.629973,4.238811,2.679711,0.372977,0.429772,5.995097
0.020000,4.441850,-0.644922,4.292558,2.687338,0.381366,0.419441,6.007626
0.020000,4.493813,-0.659252,4.346461,2.695127,0.389443,0.403831,6.020675
0.020000,4.546116,-0.672928,4.400522,2.703069,0.397087,0.382221,6.034256
0.020000,4.598760,-0.685918,4.454745,2.711152,0.404166,0.353925,6.048377
0.020000,4.651746,-0.698185,4.509132,2.719363,0.410529,0.318187,6.063048
0.020000,4.705072,-0.709694,4.563686,2.727683,0.416015,0.274268,6.078275
0.020000,4.758735,-0.720408,4.618408,2.736092,0.420445,0.221494,6.094065
0.020000,4.812729,-0.730289,4.673299,2.744565,0.423629,0.159207,6.110421
0.020000,4.867049,-0.739297,4.728361,2.753072,0.425366,0.086881,6.127346
0.020000,4.921684,-0.747394,4.783592,2.761581,0.425448,0.004082,6.144840
