dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466368,1.493901,0.000057,0.005669,0.283447,14.172336,6.283180
0.020000,0.466612,1.493901,0.000300,0.012167,0.324881,2.071723,6.283124
0.020000,0.467159,1.493901,0.000847,0.027374,0.760355,21.773698,6.283000
0.020000,0.468132,1.493901,0.001821,0.048661,1.064344,15.199455,6.282778
0.020000,0.469653,1.493900,0.003341,0.076023,1.368099,15.187730,6.282433
0.020000,0.471842,1.493898,0.005530,0.109452,1.671470,15.168556,6.281938
0.020000,0.474821,1.493893,0.008509,0.148937,1.974272,15.140113,6.281266
0.020000,0.478649,1.493884,0.012337,0.191425,2.124389,7.505856,6.280406
0.020000,0.483326,1.493868,0.017015,0.233864,2.121933,-0.122837,6.279362
0.020000,0.488851,1.493844,0.022540,0.276243,2.118939,-0.149658,6.278138
0.020000,0.495222,1.493807,0.028911,0.318551,2.115416,-0.176184,6.276739
0.020000,0.502438,1.493755,0.036126,0.360778,2.111368,-0.202371,6.275169
0.020000,0.510496,1.493683,0.044184,0.402914,2.106805,-0.228176,6.273435
0.020000,0.519394,1.493588,0.053083,0.444949,2.101734,-0.253533,6.271543
0.020000,0.529131,1.493465,0.062821,0.486872,2.096166,-0.278410,6.269502
0.020000,0.539703,1.493309,0.073394,0.528675,2.090111,-0.302752,6.267319
0.020000,0.551108,1.493115,0.084801,0.570346,2.083580,-0.326530,6.265004
0.020000,0.563344,1.492877,0.097039,0.611878,2.076587,-0.349685,6.262564
0.020000,0.576406,1.492591,0.110104,0.653261,2.069143,-0.372206,6.260011
0.020000,0.590291,1.492251,0.123994,0.694486,2.061261,-0.394052,6.257354
0.020000,0.604997,1.491850,0.138705,0.735545,2.052957,-0.415203,6.254606
0.020000,0.620518,1.491385,0.154233,0.776430,2.044244,-0.435645,6.251777
0.020000,0.636852,1.490848,0.170576,0.817133,2.035137,-0.455378,6.248880
