dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.466359,0.895731,0.000050,0.004999,0.249927,12.496367,6.283181
0.020000,0.466544,0.895731,0.000235,0.009266,0.213392,-1.826787,6.283133
0.020000,0.466961,0.895731,0.000652,0.020850,0.579191,18.289980,6.283023
0.020000,0.467703,0.895731,0.001394,0.037070,0.810987,11.589770,6.282827
0.020000,0.468815,0.895730,0.002506,0.055612,0.927097,5.805528,6.282535
0.020000,0.470298,0.895729,0.003989,0.074162,0.927515,0.020911,6.282146
0.020000,0.472153,0.895727,0.005844,0.092724,0.928072,0.027847,6.281662
0.020000,0.474379,0.895723,0.008070,0.111299,0.928768,0.034760,6.281082
0.020000,0.476976,0.895716,0.010667,0.129891,0.929600,0.041640,6.280409
0.020000,0.479946,0.895707,0.013638,0.148502,0.930570,0.048473,6.279643
0.020000,0.483289,0.895694,0.016980,0.167136,0.931675,0.055269,6.278786
0.020000,0.487005,0.895675,0.020696,0.185794,0.932915,0.062004,6.277840
0.020000,0.491094,0.895651,0.024786,0.204480,0.934289,0.068681,6.276807
0.020000,0.495558,0.895620,0.029250,0.223196,0.935795,0.075292,6.275688
0.020000,0.500397,0.895581,0.034089,0.241944,0.937431,0.081829,6.274485
0.020000,0.505611,0.895533,0.039303,0.260728,0.939197,0.088289,6.273202
0.020000,0.511202,0.895473,0.044894,0.279550,0.941090,0.094660,6.271841
0.020000,0.517170,0.895401,0.050862,0.298412,0.943109,0.100944,6.270403
0.020000,0.523516,0.895315,0.057209,0.317317,0.945252,0.107128,6.268893
0.020000,0.530240,0.895214,0.063934,0.336268,0.947516,0.113211,6.267313
0.020000,0.537345,0.895095,0.071039,0.355266,0.949900,0.119186,6.265666
0.020000,0.544830,0.894957,0.078526,0.374314,0.952401,0.125048,6.263957
0.020000,0.552696,0.894799,0.086394,0.393414,0.955017,0.130799,6.262187
0.020000,0.560946,0.894618,0.094645,0.412569,0.957745,0.136423,6.260361
0.020000,0.569579,0.894413,0.103281,0.431781,0.960584,0.141928,6.258483
0.020000,0.578597,0.894182,0.112302,0.451051,0.963530,0.147307,6.256557
0.020000,0.588001,0.893922,0.121710,0.470383,0.966581,0.152555,6.254586
0.020000,0.597792,0.893632,0.131505,0.489778,0.969734,0.157680,6.252575
0.020000,0.607972,0.893310,0.141690,0.509237,0.972988,0.162669,6.250528
0.020000,0.618541,0.892953,0.152265,0.528764,0.976339,0.167537,6.248450
0.020000,0.629501,0.892561,0.163232,0.548360,0.979784,0.172270,6.246346
0.020000,0.640854,0.892130,0.174593,0.568026,0.983322,0.176886,6.244219
0.020000,0.652600,0.891660,0.186348,0.587765,0.986949,0.181373,6.242076
