dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000004,0.299085,0.000050,0.004965,0.248250,12.412504,0.000000
0.020000,0.000203,0.299085,0.000248,0.009930,0.248250,0.000000,0.000000
0.020000,0.000649,0.299085,0.000695,0.022343,0.620625,18.618756,0.000000
0.020000,0.001444,0.299085,0.001490,0.039720,0.868875,12.412504,0.000000
0.020000,0.002635,0.299085,0.002681,0.059580,0.993000,6.206252,0.000000
0.020000,0.004224,0.299085,0.004270,0.079440,0.993000,0.000000,0.000000
0.020000,0.006210,0.299085,0.006256,0.099300,0.993000,-0.000000,0.000000
0.020000,0.008593,0.299085,0.008639,0.119160,0.993000,-0.000000,0.000000
0.020000,0.011374,0.299085,0.011420,0.139020,0.993000,0.000000,0.000000
0.020000,0.014551,0.299085,0.014597,0.158880,0.993000,-0.000000,0.000000
0.020000,0.018126,0.299085,0.018172,0.178740,0.993000,0.000000,0.000000
0.020000,0.022098,0.299085,0.022144,0.198600,0.993000,0.000000,0.000000
0.020000,0.026467,0.299085,0.026513,0.218460,0.993000,-0.000000,0.000000
0.020000,0.031234,0.299085,0.031280,0.238320,0.993000,0.000000,0.000000
0.020000,0.036397,0.299085,0.036443,0.258180,0.993000,-0.000000,0.000000
0.020000,0.041958,0.299085,0.042004,0.278040,0.993000,0.000000,0.000000
0.020000,0.047916,0.299085,0.047962,0.297900,0.993000,-0.000000,0.000000
0.020000,0.054271,0.299085,0.054317,0.317760,0.993000,0.000000,0.000000
0.020000,0.061024,0.299085,0.061070,0.337620,0.993000,-0.000000,0.000000
0.020000,0.068173,0.299085,0.068219,0.357480,0.993000,0.000000,0.000000
0.020000,0.075720,0.299085,0.075766,0.377340,0.993000,0.000000,0.000000
0.020000,0.083664,0.299085,0.083710,0.397200,0.993000,-0.000000,0.000000
0.020000,0.092005,0.299085,0.092051,0.417060,0.993000,-0.000000,0.000000
0.020000,0.100744,0.299085,0.100790,0.436920,0.993000,0.000000,0.000000
0.020000,0.109879,0.299085,0.109925,0.456780,0.993000,-0.000000,0.000000
0.020000,0.119412,0.299085,0.119458,0.476640,0.993000,0.000000,0.000000
0.020000,0.129342,0.299085,0.129388,0.496500,0.993000,0.000000,0.000000
0.020000,0.139669,0.299085,0.139715,0.516360,0.993000,-0.000000,0.000000
0.020000,0.150394,0.299085,0.150440,0.536220,0.993000,-0.000000,0.000000
0.020000,0.161515,0.299085,0.161561,0.556080,0.993000,0.000000,0.000000
0.020000,0.173034,0.299085,0.173080,0.575940,0.993000,0.000000,0.000000
0.020000,0.184950,0.299085,0.184996,0.595800,0.993000,-0.000000,0.000000
0.020000,0.197263,0.299085,0.197309,0.615660,0.993000,0.000000,0.000000
0.020000,0.209974,0.299085,0.210020,0.635520,0.993000,-0.000000,0.000000
0.020000,0.223081,0.299085,0.223127,0.655380,0.993000,0.000000,0.000000
0.020000,0.236586,0.299085,0.236632,0.675240,0.993000,-0.000000,0.000000
0.020000,0.250488,0.299085,0.250534,0.695100,0.993000,0.000000,0.000000
0.020000,0.264787,0.299085,0.264833,0.714960,0.993000,0.000000,0.000000
0.020000,0.279484,0.299085,0.279530,0.734820,0.993000,-0.000000,0.000000
0.020000,0.294577,0.299085,0.294623,0.754680,0.993000,0.000000,0.000000
0.020000,0.310068,0.299085,0.310114,0.774540,0.993000,-0.000000,0.000000
0.020000,0.325956,0.299085,0.326002,0.794400,0.993000,-0.000000,0.000000
0.020000,0.342241,0.299085,0.342287,0.814260,0.993000,0.000000,0.000000
0.020000,0.358924,0.299085,0.358970,0.834120,0.993000,-0.000000,0.000000
0.020000,0.376004,0.299085,0.376049,0.853980,0.993000,0.000000,0.000000
0.020000,0.393480,0.299085,0.393526,0.873840,0.993000,-0.000000,0.000000
0.020000,0.411354,0.299085,0.411400,0.893700,0.993000,0.000000,0.000000
0.020000,0.429626,0.299085,0.429671,0.913560,0.993000,-0.000000,0.000000
0.020000,0.448294,0.299085,0.448340,0.933420,0.993000,-0.000000,0.000000
0.020000,0.467360,0.299085,0.467405,0.953280,0.993000,0.000000,0.000000
0.020000,0.486822,0.299085,0.486868,0.973140,0.993000,-0.000000,0.000000
0.020000,0.506682,0.299085,0.506728,0.993000,0.993000,0.000000,0.000000
0.020000,0.526940,0.299085,0.526985,1.012860,0.993000,0.000000,0.000000
0.020000,0.547594,0.299085,0.547640,1.032720,0.993000,-0.000000,0.000000
0.020000,0.568646,0.299085,0.568691,1.052580,0.993000,0.000000,0.000000
0.020000,0.590094,0.299085,0.590140,1.072440,0.993000,-0.000000,0.000000
0.020000,0.611940,0.299085,0.611986,1.092300,0.993000,0.000000,0.000000
0.020000,0.634184,0.299085,0.634229,1.112160,0.993000,0.000000,0.000000
0.020000,0.656824,0.299085,0.656870,1.132020,0.993000,-0.000000,0.000000
0.020000,0.679862,0.299085,0.679907,1.151880,0.993000,0.000000,0.000000
0.020000,0.703296,0.299085,0.703342,1.171740,0.993000,-0.000000,0.000000
0.020000,0.727128,0.299085,0.727174,1.191600,0.993000,0.000000,0.000000
0.020000,0.751358,0.299085,0.751403,1.211460,0.993000,0.000000,0.000000
0.020000,0.775984,0.299085,0.776030,1.231320,0.993000,-0.000000,0.000000
0.020000,0.801008,0.299085,0.801053,1.251180,0.993000,0.000000,0.000000
0.020000,0.826428,0.299085,0.826474,1.271040,0.993000,-0.000000,0.000000
0.020000,0.852246,0.299085,0.852292,1.290900,0.993000,-0.000000,0.000000
0.020000,0.878462,0.299085,0.878507,1.310760,0.993000,0.000000,0.000000
0.020000,0.905074,0.299085,0.905120,1.330620,0.993000,-0.000000,0.000000
0.020000,0.932084,0.299085,0.932129,1.350480,0.993000,0.000000,0.000000
0.020000,0.959491,0.299085,0.959536,1.370340,0.993000,0.000000,0.000000
0.020000,0.987295,0.299085,0.987340,1.390200,0.993000,-0.000000,0.000000
0.020000,1.015496,0.299085,1.015541,1.410060,0.993000,0.000000,0.000000
0.020000,1.044094,0.299085,1.044140,1.429920,0.993000,-0.000000,0.000000
0.020000,1.073090,0.299085,1.073135,1.449780,0.993000,0.000000,0.000000
0.020000,1.102483,0.299085,1.102528,1.469641,0.993000,-0.000000,0.000000
0.020000,1.132273,0.299085,1.132318,1.489501,0.993000,0.000000,0.000000
0.020000,1.162460,0.299085,1.162505,1.509361,0.993000,-0.000000,0.000000
0.020000,1.193044,0.299085,1.193090,1.529221,0.993000,0.000000,0.000000
0.020000,1.224026,0.299085,1.224072,1.549081,0.993000,-0.000000,0.000000
0.020000,1.255405,0.299085,1.255450,1.568941,0.993000,0.000000,0.000000
0.020000,1.287181,0.299085,1.287226,1.588801,0.993000,0.000000,0.000000
0.020000,1.319354,0.299085,1.319400,1.608661,0.993000,0.000000,0.000000
0.020000,1.351924,0.299085,1.351970,1.628521,0.993000,0.000000,0.000000
0.020000,1.384892,0.299085,1.384938,1.648381,0.993000,-0.000000,0.000000
0.020000,1.418257,0.299085,1.418302,1.668241,0.993000,0.000000,0.000000
0.020000,1.452019,0.299085,1.452064,1.688101,0.993000,0.000000,0.000000
0.020000,1.486178,0.299085,1.486224,1.707961,0.993000,0.000000,0.000000
0.020000,1.520734,0.299085,1.520780,1.727821,0.993000,-0.000000,0.000000
0.020000,1.555688,0.299085,1.555734,1.747681,0.993000,0.000000,0.000000
0.020000,1.591039,0.299085,1.591084,1.767541,0.993000,0.000000,0.000000
0.020000,1.626787,0.299085,1.626832,1.787401,0.993000,0.000000,0.000000
0.020000,1.662932,0.299085,1.662978,1.807261,0.993000,-0.000000,0.000000
0.020000,1.699474,0.299085,1.699520,1.827121,0.993000,0.000000,0.000000
0.020000,1.736414,0.299085,1.736460,1.846981,0.993000,-0.000000,0.000000
0.020000,1.773751,0.299085,1.773797,1.866841,0.993000,0.000000,0.000000
0.020000,1.811485,0.299085,1.811531,1.886701,0.993000,-0.000000,0.000000
